unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1769951760,2026-02-01T13:16:00.0000000Z,BTC-USDT,78691.1,78691.1,78648,78659,0.78074404,61412.54544236
1769951820,2026-02-01T13:17:00.0000000Z,BTC-USDT,78658.9,78658.9,78640,78640,0.29883898,23500.69738720
1769951880,2026-02-01T13:18:00.0000000Z,BTC-USDT,78640.1,78640.1,78623,78623.7,0.6932692,54507.38960004
1769951940,2026-02-01T13:19:00.0000000Z,BTC-USDT,78623.7,78687.9,78623.1,78687.9,1.16442294,91625.995860426
1769952000,2026-02-01T13:20:00.0000000Z,BTC-USDT,78688,78688,78656.3,78683.9,0.9750661,76722.00350579
1769952060,2026-02-01T13:21:00.0000000Z,BTC-USDT,78683.9,78765.9,78683.9,78764,2.40693154,189579.55581656
1769952120,2026-02-01T13:22:00.0000000Z,BTC-USDT,78763.7,78774.7,78710.1,78735,9.33245747,734791.03890045
1769952180,2026-02-01T13:23:00.0000000Z,BTC-USDT,78735.1,78735.1,78700,78733.6,0.56798019,44719.125087384
1769952240,2026-02-01T13:24:00.0000000Z,BTC-USDT,78733.6,78738.6,78635,78635,0.78932958,62068.93152330
1769952300,2026-02-01T13:25:00.0000000Z,BTC-USDT,78633.6,78649.4,78620.1,78646.9,2.2878812,179934.76394828
1769952360,2026-02-01T13:26:00.0000000Z,BTC-USDT,78647,78647,78634,78645.9,1.16578201,91683.975380259
1769952420,2026-02-01T13:27:00.0000000Z,BTC-USDT,78646,78646,78637.9,78638,0.92213865,72515.13915870
1769952480,2026-02-01T13:28:00.0000000Z,BTC-USDT,78638,78638,78601.7,78615,1.60220025,125956.97265375
1769952600,2026-02-01T13:30:00.0000000Z,BTC-USDT,78688.4,78693.9,78658.1,78658.1,1.76653064,138951.943734184
1769952660,2026-02-01T13:31:00.0000000Z,BTC-USDT,78658.1,78665,78644,78644.1,2.25415926,177276.326259366
1769952720,2026-02-01T13:32:00.0000000Z,BTC-USDT,78644.1,78658.8,78615,78624,0.50715028,39874.18361472
1769952780,2026-02-01T13:33:00.0000000Z,BTC-USDT,78624,78643.9,78617.3,78641,1.13506229,89262.43354789
1769952840,2026-02-01T13:34:00.0000000Z,BTC-USDT,78641.1,78656.5,78621.1,78628,0.2908412,22868.2618736
1769952900,2026-02-01T13:35:00.0000000Z,BTC-USDT,78629,78638.9,78531.5,78542.4,0.93739313,73625.106173712
1769952960,2026-02-01T13:36:00.0000000Z,BTC-USDT,78542,78553,78502.1,78510.9,1.91708719,150512.240665371
1769953020,2026-02-01T13:37:00.0000000Z,BTC-USDT,78507.9,78551.1,78507.9,78551,0.51678121,40593.68082671
1769953080,2026-02-01T13:38:00.0000000Z,BTC-USDT,78551.1,78565.7,78507,78547.3,10.31737907,810402.269025011
1769953140,2026-02-01T13:39:00.0000000Z,BTC-USDT,78522.5,78527.1,78500,78500.1,2.22450047,174623.509345047
1769953200,2026-02-01T13:40:00.0000000Z,BTC-USDT,78500,78530,78468.1,78499.7,4.89857822,384536.920696534
1769953260,2026-02-01T13:41:00.0000000Z,BTC-USDT,78499.8,78536,78466.1,78532.4,2.79533508,219524.372636592
1769953320,2026-02-01T13:42:00.0000000Z,BTC-USDT,78530.1,78551.2,78530,78550.1,0.90331051,70955.130891551
1769953380,2026-02-01T13:43:00.0000000Z,BTC-USDT,78550,78550,78529,78542.6,1.00710733,79100.828177258
1769953440,2026-02-01T13:44:00.0000000Z,BTC-USDT,78542.5,78565.5,78527.1,78541,12.61360638,990685.25869158
1769953500,2026-02-01T13:45:00.0000000Z,BTC-USDT,78541,78595.6,78541,78592.4,1.13168675,88941.977730700
1769953560,2026-02-01T13:46:00.0000000Z,BTC-USDT,78592.4,78645,78592.4,78645,1.36011823,106966.49819835
1769953620,2026-02-01T13:47:00.0000000Z,BTC-USDT,78644.9,78655,78626,78648.2,1.73947061,136806.232429402
1769953680,2026-02-01T13:48:00.0000000Z,BTC-USDT,78648.1,78661.9,78592,78599,10.72614259,843064.08143141
1769953740,2026-02-01T13:49:00.0000000Z,BTC-USDT,78598,78612,78501,78508,1.22248838,95975.11773704
1769953800,2026-02-01T13:50:00.0000000Z,BTC-USDT,78508,78508,78458.3,78468.3,5.78098595,453624.139820385
1769953860,2026-02-01T13:51:00.0000000Z,BTC-USDT,78468.3,78470,78390,78412,2.29033685,179589.89308220
1769953920,2026-02-01T13:52:00.0000000Z,BTC-USDT,78412.1,78418,78309.3,78341.6,8.91856741,698694.840607256
1769953980,2026-02-01T13:53:00.0000000Z,BTC-USDT,78327.8,78391,78305.5,78337.9,3.04157548,238270.635794692
1769954040,2026-02-01T13:54:00.0000000Z,BTC-USDT,78337,78384.1,78337,78362,6.76382159,530026.58743558
1769954100,2026-02-01T13:55:00.0000000Z,BTC-USDT,78361.9,78401.9,78337.4,78337.5,1.91380916,149923.025071500
1769954160,2026-02-01T13:56:00.0000000Z,BTC-USDT,78337.4,78337.5,78206,78287.5,29.55635546,2313893.178074750
1769954220,2026-02-01T13:57:00.0000000Z,BTC-USDT,78285.5,78349.6,78226.7,78294.1,10.70291436,837975.047193276
